variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
exam4_near_roadway,MESA_AirNRAirExposure,INDICATOR FOR RESIDENCE NEAR A ROAD AT EXAM 4,NUMERIC,,"0=HOME MORE THAN 100M FROM A1 ROAD (LIMITED ACCESS HIGHWAY), A2 ROAD (HIGHWAY WITHOUT LIMITED ACCESS), AND MORE THAN 50M FROM A3 ROAD (SECONDARY STATE OR COUNTY HIGHWAY)|1=HOME WITHIN 100M OF A1 ROAD OR A2 ROAD OR WITHIN 50M OF A3 ROAD",2,phv00159066.v1,phs000209.v13
sidno,MESA_AirNRAirExposure,SHARE ID NUMBER,NUMERIC,,,,phv00159056.v1,phs000209.v13
a2a5c,MESA_AirNRExam5Main,ANGIOTENSIN TYPE 2 ANTAGONISTS,NUMERIC,,0=NO|1=YES,2,phv00175327.v1,phs000209.v13
a2ad5c,MESA_AirNRExam5Main,COMBINATIONS OF ANGIOTENSIN II ANTAGONISTS PLUS DIURETICS,NUMERIC,,0=NO|1=YES,2,phv00175328.v1,phs000209.v13
abi5c,MESA_AirNRExam5Main,ANKLE-BRACHIAL INDEX,NUMERIC,,,,phv00174629.v2,phs000209.v13
ace5c,MESA_AirNRExam5Main,ACE INHIBITORS WITHOUT DIURETICS,NUMERIC,,0=NO|1=YES,2,phv00175329.v1,phs000209.v13
aced5c,MESA_AirNRExam5Main,ACE INHIBITORS WITH DIURETICS,NUMERIC,,0=NO|1=YES,2,phv00175330.v1,phs000209.v13
adpi5c,MESA_AirNRExam5Main,INHIBITORS OF ADP-INDUCED PLATELET AGGREGATION,NUMERIC,,0=NO|1=YES,2,phv00175331.v1,phs000209.v13
afib5c,MESA_AirNRExam5Main,ECG ATRIAL FIBRILLATION / FLUTTER,NUMERIC,,0=NO|1=YES,2,phv00175125.v1,phs000209.v13
agatpm5t,MESA_AirNRExam5Main,NATURAL LOG-TRANSFORMED PHANTOM-ADJUSTED AGATSTON SCORE (POSITIVE SCORES ONLY) - E5,NUMERIC,,,,phv00174608.v1,phs000209.v13
agdi5c,MESA_AirNRExam5Main,ALPHA-GLUCOSIDASE INHIBITORS,NUMERIC,,0=NO|1=YES,2,phv00175332.v1,phs000209.v13
age5,MESA_AirNRExam5Main,Q3) HOW OLD ARE YOU?,NUMERIC,,0=MISSED BY >3 YEARS|1=MISSED BY 1-3 YEARS|2=CORRECT|9=NOT ATT/DISABLED,4,phv00174655.v1,phs000209.v13
age5c,MESA_AirNRExam5Main,AGE AT EXAM 5,NUMERIC,years,,,phv00174588.v1,phs000209.v13
ageans5,MESA_AirNRExam5Main,Q3) HOW OLD ARE YOU? (PPT RESPONSE),NUMERIC,,,,phv00174654.v1,phs000209.v13
